Method-ID,Date,Trap,Sand_Fly_Species,Locality,Habitat,Blood_Meal_Source
PCR-1,5/20/11,sticky trap,Sergentomyia_clydei,Mykadra,periphery_of_village,negative
PCR-2,5/20/11,sticky trap,Sergentomyia_clydei,Mykadra,periphery_of_village,negative
PCR-3,5/20/11,sticky trap,Sergentomyia_clydei,Mykadra,periphery_of_village,negative
PCR-4,5/20/11,sticky trap,Sergentomyia_clydei,Mykadra,periphery_of_village,negative
PCR-5,5/20/11,sticky trap,Sergentomyia_clydei,Mykadra,periphery_of_village,negative
PCR-6,5/20/11,sticky trap,Sergentomyia_clydei,Mykadra,periphery_of_village,cow
PCR-7,5/20/11,sticky trap,Sergentomyia_clydei,Mykadra,farm_fields,negative
PCR-8,5/20/11,sticky trap,Sergentomyia_clydei,Mykadra,farm_fields,negative
PCR-9,5/26/11,sticky trap,Sergentomyia_schwetzi,Mykadra,in_village,negative
PCR-10,5/26/11,sticky trap,Phlebotomus_duboscqi,Mykadra,in_village,human
PCR-11,5/26/11,sticky trap,Sergentomyia_clydei,Mykadra,in_village,human
PCR-12,5/26/11,sticky trap,Sergentomyia_clydei,Mykadra,in_village,human + cow
PCR-13,5/26/11,sticky trap,Sergentomyia_clydei,Mykadra,in_village,human + cow
PCR-14,5/26/11,sticky trap,Sergentomyia_clydei,Mykadra,in_village,human + cow
PCR-15,5/26/11,sticky trap,Sergentomyia_clydei,Mykadra,in_village,negative
PCR-16,5/2/12,sticky trap,Phlebotomus_orientalis,Adebay,periphery_of_village,goat/sheep
PCR-17,5/3/12,sticky trap,Phlebotomus_papatasi,Adebay,periphery_of_village,negative
PCR-18,5/3/12,sticky trap,Phlebotomus_orientalis,Adebay,periphery_of_village,goat/sheep
PCR-19,5/4/12,sticky trap,Phlebotomus_orientalis,Adebay,periphery_of_village,goat/sheep
PCR-20,5/4/12,sticky trap,Phlebotomus_orientalis,Adebay,periphery_of_village,human + cow
PCR-21,5/4/12,sticky trap,Phlebotomus_orientalis,Adebay,periphery_of_village,human + cow
PCR-22,5/4/12,sticky trap,Phlebotomus_orientalis,Adebay,periphery_of_village,human + cow
PCR-23,5/4/12,sticky trap,Phlebotomus_orientalis,Adebay,periphery_of_village,negative
PCR-24,5/4/12,sticky trap,Phlebotomus_orientalis,Adebay,periphery_of_village,negative
PCR-25,5/4/12,sticky trap,Phlebotomus_orientalis,Adebay,periphery_of_village,negative
PCR-26,5/26/11,sticky trap,Sergentomyia_clydei,Mykadra,in_village,negative
PCR-27,5/26/11,sticky trap,Sergentomyia_africana,Mykadra,farm_fields,negative
PCR-28,5/26/11,sticky trap,Sergentomyia_clydei,Mykadra,farm_fields,negative
PCR-29,7/15/11,sticky trap,Phlebotomus_papatasi,Mykadra,in_village,human + cow
