Identification Methods,Sand Fly Species,Locality,Habitat,Blood Meal Source
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow
ELISA,Phlebotomus orientalis,Adebay,in village,cow
ELISA,Phlebotomus orientalis,Adebay,in village,cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow
ELISA,Phlebotomus orientalis,Adebay,in village,cow
ELISA,Phlebotomus orientalis,Adebay,farm fields,cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow
ELISA,Phlebotomus orientalis,Humera town,farm fields,cow
ELISA,Phlebotomus orientalis,Adebay,in village,cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow
ELISA,Phlebotomus orientalis,Adebay,in village,cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow + dog
ELISA,Phlebotomus orientalis,Adebay,farm fields,cow + dog
ELISA,Phlebotomus orientalis,Adebay,farm fields,cow + dog
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow + dog
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow + dog + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow + dog + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow + dog + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow + dog + donkey
